# Log_10 MH2 [Msun]	error phi [Mpc^-3 dex^-1]	phi [Mpc^-3 dex^-1]
7.777857142857144	0.0007986818882150308	0.0028938599508246143
7.953571428571429	0.0010663870091285363	0.00375329769065183
8.129285714285714	0.0015457576815448635	0.008418061702306672
8.305			0.0014886578193183274	0.007178036966269721
8.480714285714285	0.0014076874508066794	0.007530370829626023
8.656428571428572	0.001403815301814788	0.009774811489444628
8.832142857142857	0.0013341029541383935	0.007863466832234305
9.007857142857144	0.0005911863119734919	0.004054378156825878
9.18357142857143	0.0007102227653682677	0.004024867867511658
9.359285714285715	0.0005346021531564871	0.003156386041279852
9.535			0.0004178034036466167	0.002243536659898699
9.710714285714285	0.0003445321099860629	0.001491750486867739
9.88642857142857	0.00022836014151213514	0.0007487857005049614
10.062142857142858	0.0001290037874425389	0.0002053075537401472
