# Log_10 LCO [K km s^-1 pc^2]	error phi [Mpc^-3 dex^-1]	phi [Mpc^-3 dex^-1]
6.912302831808725	0.0006393942276415405	0.002647204311071243
7.161803781986237	0.0009546677033336391	0.004180425382896698
7.411304732163748	0.0012553149728272487	0.007380186038431499
7.660805682341257	0.0013505794132058593	0.009534362257297986
7.910306632518768	0.0008309935121465504	0.005228467303168549
8.159807582696278	0.000655953791382798	0.004302487625488987
8.40930853287379	0.000545189826783071	0.004136368796762323
8.6588094830513		0.0004980998325010578	0.0034001533329970526
8.90831043322881	0.0003558842326888842	0.0026378051713526066
9.157811383406322	0.00028800291664748	0.0015690271872681465
9.407312333583832	0.00018142888196697365	0.0006349482295268495
9.656813283761343	0.0001289486533044713	0.0002722057521914618
