7.148	5.959e5
7.245	3.166e5
7.324	21653.971
7.455	1.631e5
7.543	1.580e5
7.444	5001.371
7.516	5904.300
7.573	6318.660
7.604	13495.270
7.619	1413.089
7.632	5061.265
7.660	12615.496
7.735	73177.625
7.705	9002.051
7.739	11048.756
7.686	5066.874
7.806	8962.276
7.828	5929.690
7.871	9525.081
7.832	2037.023
7.845	943.259
7.845	772.794
7.885	1643.448
7.941	2431.559
7.961	650.638
8.015	829.437
8.055	3208.464
8.046	17482.275
8.107	972.156
8.147	1299.390
8.163	1904.232
8.247	1664.280
8.244	1124.860
8.201	566.061
8.195	790.210
8.289	795.148
8.338	607.887
8.357	322.204
8.363	618.325
8.373	1247.399
8.327	1887.173
8.367	4141.436
8.263	272.703
8.316	180.954
8.358	106.493
8.427	267.618
8.443	507.706
8.454	496.653
8.416	496.653
8.417	415.723
8.524	1124.393
8.693	2460.338
8.620	741.052
8.900	198.291
9.100	1.061e5
9.102	108.607
9.000	20.275
8.729	128.162
8.698	67.537
8.655	157.518
8.608	116.600
8.614	72.347
8.540	45.641
8.489	113.825
8.535	155.611
8.499	294.032
8.528	319.583
8.567	255.315
8.529	26.440
