# StellarMass HIMass H2Mass SFR StellarSurfaceDensity MolecularSurfaceDensity MolecularMetallicity
# Msun Msun Msun Msun/yr Msun/kpc^2 Msun/kpc^2 Zsun (h=0.6774, Zsun=0.0134, HI/H2=GD14)
2.3203e+09 1.4029e+07 5.9287e+07 5.2395e-02 5.9356e+07 1.7383e+07 2.7843e+00
1.5861e+09 3.6165e+08 3.8031e+08 4.3093e-01 7.0069e+07 1.8493e+07 9.8807e-01
3.5949e+09 1.1090e+08 3.1628e+08 3.0420e-01 1.6128e+08 3.3812e+07 2.5161e+00
1.2683e+09 2.3988e+08 2.7204e+08 3.8170e-01 7.1274e+07 2.2891e+07 9.7032e-01
1.7982e+09 0.0000e+00 0.0000e+00 0.0000e+00 4.6403e+07 nan nan
3.3684e+09 1.4020e+08 1.7216e+08 8.1966e-02 1.5070e+08 9.6378e+06 1.3664e+00
5.3217e+09 2.5958e+07 1.3073e+08 8.5952e-02 1.5552e+08 1.3444e+06 2.4814e+00
4.3378e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.1886e+08 nan nan
8.8390e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.6260e+09 nan nan
4.9127e+09 3.2355e+05 3.3455e+06 4.4071e-03 8.1078e+07 2.1174e+03 1.2563e+00
2.3827e+09 2.2505e+08 3.5344e+08 3.8223e-01 1.0266e+08 5.1554e+07 1.6131e+00
2.6276e+09 2.1383e+09 1.8180e+09 2.1644e+00 1.6154e+08 3.5146e+06 8.4500e-01
5.0771e+09 0.0000e+00 0.0000e+00 0.0000e+00 2.6848e+08 nan nan
3.6518e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.4477e+08 nan nan
7.0420e+09 0.0000e+00 0.0000e+00 0.0000e+00 9.0395e+08 nan nan
2.7874e+09 0.0000e+00 0.0000e+00 0.0000e+00 7.3895e+07 nan nan
2.0304e+09 0.0000e+00 0.0000e+00 0.0000e+00 3.7844e+07 nan nan
1.8692e+09 0.0000e+00 0.0000e+00 0.0000e+00 5.0964e+07 nan nan
1.9277e+09 1.5269e+08 1.8388e+08 1.3920e-01 4.4227e+07 8.9383e+06 1.2482e+00
5.5238e+09 0.0000e+00 0.0000e+00 0.0000e+00 7.9301e+08 nan nan
1.0711e+09 7.8138e+07 8.9514e+07 3.8043e-02 4.1658e+07 1.7306e+07 1.4614e+00
1.6840e+09 0.0000e+00 0.0000e+00 0.0000e+00 7.8649e+07 nan nan
1.7133e+09 8.9624e+07 8.0426e+07 7.7133e-02 3.0210e+07 2.1894e+07 8.4990e-01
4.4646e+09 0.0000e+00 0.0000e+00 0.0000e+00 5.4700e+08 nan nan
3.6645e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.1447e+08 nan nan
3.5898e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.0690e+08 nan nan
2.1395e+09 5.1152e+08 5.8530e+08 5.1942e-01 9.0095e+07 5.2773e+05 1.2143e+00
2.2350e+09 0.0000e+00 0.0000e+00 0.0000e+00 9.0868e+07 nan nan
1.7615e+09 0.0000e+00 0.0000e+00 0.0000e+00 3.8043e+07 nan nan
2.7468e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.7632e+08 nan nan
1.6054e+09 0.0000e+00 0.0000e+00 0.0000e+00 2.8011e+07 nan nan
2.3531e+09 0.0000e+00 0.0000e+00 0.0000e+00 6.4249e+07 nan nan
2.5702e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.2946e+08 nan nan
1.6298e+09 7.1493e+07 1.6463e+08 1.7195e-01 1.6117e+08 3.1164e+07 1.4805e+00
2.3458e+09 0.0000e+00 0.0000e+00 0.0000e+00 2.6083e+08 nan nan
1.4370e+09 0.0000e+00 0.0000e+00 0.0000e+00 5.1711e+07 nan nan
1.5953e+09 0.0000e+00 0.0000e+00 0.0000e+00 7.7036e+07 nan nan
1.1293e+09 0.0000e+00 0.0000e+00 0.0000e+00 3.9716e+07 nan nan
1.8976e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.5334e+09 nan nan
1.0522e+09 0.0000e+00 0.0000e+00 0.0000e+00 4.3231e+07 nan nan
1.4014e+09 0.0000e+00 0.0000e+00 0.0000e+00 9.7614e+07 nan nan
1.0485e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.1078e+08 nan nan
1.0445e+12 1.6830e+10 3.3899e+10 3.3104e+01 1.0612e+09 3.8074e+06 7.7622e-01
