# StellarMass HIMass H2Mass SFR StellarSurfaceDensity MolecularSurfaceDensity MolecularMetallicity
# Msun Msun Msun Msun/yr Msun/kpc^2 Msun/kpc^2 Zsun (h=0.6774, Zsun=0.0134, HI/H2=GD14)
1.3416e+10 1.1823e+08 4.8327e+08 7.1989e-01 1.3162e+09 5.4977e+07 2.3175e+00
4.6363e+09 1.7783e+09 2.0646e+09 3.1825e+00 5.5616e+07 1.1057e+07 8.1864e-01
1.0362e+10 4.9094e+08 1.0340e+09 1.3192e+00 4.4585e+08 1.0404e+08 1.9424e+00
1.3622e+10 2.0103e+07 1.5762e+08 2.2899e-01 1.0385e+09 3.4902e+07 4.6641e+00
2.2165e+09 4.7567e+07 1.3428e+08 1.3966e-01 1.1869e+08 2.2894e+07 2.0570e+00
7.1687e+09 5.4971e+07 2.7679e+08 3.5233e-01 6.6782e+08 5.7856e+07 2.8201e+00
1.6501e+09 1.5014e+07 7.2911e+07 7.7057e-02 3.9042e+07 4.5157e+07 2.3753e+00
1.2295e+09 6.6777e+07 1.0994e+08 1.4402e-01 4.6372e+07 4.0045e+07 1.4042e+00
1.7198e+09 2.3478e+08 2.1387e+08 1.5821e-01 8.6099e+07 1.2581e+07 1.5363e+00
3.3818e+09 1.1388e+08 6.2807e+08 1.0504e+00 4.3730e+08 8.4492e+07 2.4024e+00
1.0597e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.3609e+07 nan nan
1.2439e+09 2.9737e+06 6.4077e+06 3.3593e-03 6.3705e+07 1.7646e+04 1.7697e+00
1.4141e+11 8.4681e+09 1.4600e+10 1.6723e+01 3.2089e+08 1.3898e+07 1.0146e+00
1.1761e+11 1.3195e+09 1.0615e+09 9.9011e-01 2.5234e+09 2.2475e+04 4.7880e-01
7.3625e+10 4.4706e+09 4.2821e+09 2.6112e+00 1.2862e+09 4.1626e+06 1.2028e+00
4.8425e+10 9.8113e+08 6.2890e+09 2.5918e+01 3.1901e+09 3.3462e+08 2.6432e+00
1.6350e+10 1.5785e+09 1.9790e+09 2.7079e+00 9.6945e+08 5.8653e+07 1.7473e+00
7.3002e+09 3.9792e+08 1.2841e+09 1.5214e+00 2.7970e+08 2.5058e+07 1.9809e+00
1.0845e+09 4.1495e+08 3.2777e+08 2.6368e-01 4.3511e+07 1.8108e+07 1.0093e+00
1.1634e+09 1.6091e+08 1.6493e+08 8.0369e-02 2.4959e+07 4.9833e+06 1.0531e+00
1.1268e+09 0.0000e+00 0.0000e+00 0.0000e+00 2.6265e+07 nan nan
3.8709e+11 9.2917e+09 1.2109e+10 9.4353e+00 2.7285e+08 1.9401e+06 9.1684e-01
1.5740e+10 1.9973e+09 4.9923e+09 7.2482e+00 2.1961e+08 7.7592e+07 1.5386e+00
3.2254e+10 7.1408e+08 3.9185e+09 1.2911e+01 7.6762e+08 3.1390e+08 2.5197e+00
3.3799e+10 8.8226e+08 4.1769e+09 2.0973e+01 4.8763e+09 5.3529e+08 1.6400e+00
3.4564e+10 6.9288e+05 3.3312e+06 2.9387e-03 3.4678e+09 3.7922e+04 2.2355e+00
1.1857e+10 3.2359e+09 4.8621e+09 6.3791e+00 9.8427e+07 3.7971e+07 1.3523e+00
1.7725e+09 1.3424e+09 9.2059e+08 1.4971e+00 4.7533e+07 1.6623e+07 6.6294e-01
1.2109e+09 4.6421e+08 3.3177e+08 4.8187e-01 5.9570e+07 4.9834e+07 8.6279e-01
1.8551e+09 2.7451e+07 4.8032e+07 3.1997e-02 1.3981e+08 1.9258e+07 2.0114e+00
1.2632e+09 0.0000e+00 0.0000e+00 0.0000e+00 5.4651e+07 nan nan
1.0481e+09 0.0000e+00 0.0000e+00 0.0000e+00 4.6607e+07 nan nan
1.2820e+11 5.2539e+09 2.2365e+09 7.7691e-01 2.9276e+08 6.4849e+04 4.8796e-01
4.8979e+10 4.5232e+09 1.9304e+09 2.2292e+00 1.1440e+10 5.4449e+05 3.7065e-01
8.8845e+10 3.0583e+09 2.7315e+09 1.2011e+00 1.6700e+09 3.9347e+06 1.0311e+00
3.4907e+09 1.4376e+09 1.2027e+09 1.5896e+00 9.6706e+07 3.0081e+07 8.0910e-01
2.3709e+10 2.8832e+09 4.2234e+09 5.3673e+00 1.1566e+09 7.4574e+07 1.8230e+00
1.2815e+10 3.3359e+09 5.2128e+09 6.6565e+00 1.1864e+08 1.8602e+07 1.0067e+00
1.1498e+10 4.4495e+08 1.3383e+09 1.7632e+00 5.5359e+08 5.8964e+07 1.8649e+00
2.3838e+10 5.5013e+07 4.4104e+07 3.3366e-02 5.9562e+09 9.0292e+06 1.0007e+00
1.6536e+10 8.8013e+07 6.7040e+08 1.1263e+00 1.3281e+09 9.9309e+07 3.5107e+00
1.0791e+10 5.7136e+08 1.0542e+09 1.3304e+00 3.0617e+08 4.3374e+07 1.8366e+00
9.7504e+09 2.6699e+08 1.1864e+09 2.1853e+00 4.3370e+08 1.2832e+08 2.7086e+00
3.6015e+09 6.7290e+08 6.8927e+08 4.9442e-01 6.3753e+07 6.2559e+06 1.1629e+00
4.7167e+09 8.1093e+08 1.9620e+09 3.6854e+00 2.5369e+08 1.0969e+08 1.2393e+00
1.4987e+09 2.3898e+08 2.4314e+08 2.4691e-01 9.7763e+07 2.9943e+07 1.2893e+00
1.4698e+09 9.1138e+08 3.5982e+08 3.7603e-01 2.2882e+07 1.1665e+07 7.5679e-01
1.2013e+09 0.0000e+00 0.0000e+00 0.0000e+00 9.1052e+07 nan nan
1.5433e+11 6.9295e+09 2.9024e+09 1.2547e+00 7.8888e+08 1.6337e+05 3.5166e-01
5.0848e+10 3.1242e+09 1.4280e+09 6.6212e-01 4.4927e+09 1.0160e+05 4.4085e-01
4.9705e+10 2.6962e+09 2.0334e+09 1.6480e+00 1.4386e+09 2.5019e+07 1.7427e+00
2.3600e+10 3.4131e+09 4.7150e+09 8.6620e+00 1.0108e+09 7.0427e+07 1.4704e+00
2.1562e+10 5.5808e+08 1.4972e+09 2.8335e+00 2.2531e+09 1.6092e+08 2.1325e+00
5.8652e+09 6.3422e+08 1.0220e+09 1.0473e+00 7.6723e+07 1.1753e+07 1.5901e+00
1.0325e+10 2.5296e+09 1.9809e+09 3.5009e+00 1.2135e+09 1.0945e+08 1.1655e+00
3.2919e+09 1.1911e+09 1.4165e+09 2.0769e+00 8.2312e+07 8.3288e+07 1.0864e+00
1.4929e+09 5.5252e+08 4.8840e+08 6.7391e-01 6.3156e+07 4.9063e+07 7.8324e-01
3.0592e+09 1.9750e+08 4.6676e+08 6.0475e-01 4.3424e+07 3.9024e+07 1.6858e+00
4.6946e+09 2.3811e+08 5.0421e+08 6.2341e-01 1.9661e+08 2.1910e+07 2.0317e+00
4.3377e+09 3.8075e+08 4.9043e+08 3.8136e-01 1.9448e+08 2.5970e+07 2.1316e+00
4.8852e+09 6.9551e+08 8.3551e+08 6.6087e-01 2.1874e+08 3.3850e+07 1.8252e+00
4.2190e+09 0.0000e+00 0.0000e+00 0.0000e+00 2.8420e+08 nan nan
1.4058e+11 1.0251e+10 4.5432e+09 5.5769e+00 4.2709e+08 6.2245e+04 3.2808e-01
1.4400e+10 9.4864e+09 5.5612e+09 7.7122e+00 6.8659e+08 2.5619e+07 9.3215e-01
4.7311e+10 3.3916e+09 5.9484e+09 2.1374e+01 5.4850e+09 5.3274e+08 1.3252e+00
4.4472e+10 5.3886e+09 1.0909e+10 3.7975e+01 2.1524e+09 4.8176e+08 1.5707e+00
1.7239e+10 3.6591e+09 5.3469e+09 8.4341e+00 3.3256e+08 6.6307e+07 1.4889e+00
2.7388e+09 1.0567e+09 5.2587e+08 6.6541e-01 7.5550e+07 1.2608e+07 1.1985e+00
1.2138e+10 1.7272e+09 2.2634e+09 3.4928e+00 2.5695e+09 3.1725e+07 1.1920e+00
4.5169e+09 6.8083e+08 1.1794e+09 1.8629e+00 1.8693e+08 8.3451e+07 1.3289e+00
9.4417e+09 2.5114e+09 4.7357e+09 8.3451e+00 9.2460e+08 8.2470e+07 1.1487e+00
1.1110e+09 1.0122e+09 3.0417e+08 3.0632e-01 2.8353e+07 5.1295e+06 7.2872e-01
2.3273e+09 1.3545e+09 1.2563e+09 1.7448e+00 6.7106e+07 3.1972e+07 8.6441e-01
4.9710e+09 3.1225e+08 4.6383e+08 4.1371e-01 3.4696e+08 2.6343e+07 1.5852e+00
4.7561e+09 9.9123e+08 1.4184e+09 1.6173e+00 1.6335e+08 1.6521e+07 1.1472e+00
3.5277e+09 7.1573e+08 1.1195e+09 1.6752e+00 2.2453e+08 1.0480e+08 1.3504e+00
1.9801e+09 5.1748e+08 7.6929e+08 1.1501e+00 8.5255e+07 4.5656e+07 1.0134e+00
1.1882e+11 3.6262e+09 2.0737e+09 1.5251e+00 7.3617e+08 4.4345e+04 3.9980e-01
1.2322e+11 4.2064e+09 5.6846e+09 6.1684e+00 1.5458e+09 7.6447e+06 8.9371e-01
6.2252e+10 5.4123e+09 6.3987e+09 1.1239e+01 1.1692e+09 2.0417e+07 1.0045e+00
2.1224e+10 3.3456e+09 5.9309e+09 8.3170e+00 1.8039e+08 1.5658e+07 1.3917e+00
1.5244e+10 2.0108e+09 1.9593e+09 3.2500e+00 1.4018e+09 3.6624e+07 9.8552e-01
2.3171e+10 2.6946e+09 6.2900e+09 8.6021e+00 8.7807e+08 2.4207e+07 1.4080e+00
3.8413e+10 3.4575e+08 2.5020e+09 1.3090e+01 9.1627e+09 4.4697e+08 3.0954e+00
1.0608e+10 2.1994e+09 3.3049e+09 4.7431e+00 3.1788e+08 4.1511e+07 1.0786e+00
9.9036e+09 2.9120e+08 1.3313e+09 2.2297e+00 5.6043e+08 9.5181e+07 2.3199e+00
3.4618e+09 1.8901e+09 1.4843e+09 1.8097e+00 8.0808e+07 1.4887e+07 7.4712e-01
7.1790e+09 1.2053e+08 4.0164e+08 4.4706e-01 5.8319e+08 4.7198e+07 3.3629e+00
2.0614e+09 6.2099e+08 7.4341e+08 1.0595e+00 8.4694e+07 5.1753e+07 9.1144e-01
1.1122e+09 3.2026e+08 2.4274e+08 2.4639e-01 3.9993e+07 1.0862e+07 1.0338e+00
2.4457e+11 2.4319e+10 1.3762e+10 1.0143e+01 5.0991e+08 1.6318e+05 6.5351e-01
1.5133e+11 9.0528e+09 1.1093e+10 1.4365e+01 1.6065e+09 1.2859e+07 1.1677e+00
3.0165e+10 2.5894e+09 6.8764e+09 1.2168e+01 1.0457e+09 1.3877e+08 1.5760e+00
1.8906e+10 0.0000e+00 0.0000e+00 0.0000e+00 5.3606e+09 nan nan
8.4568e+09 9.4180e+08 2.4993e+09 3.9903e+00 1.8878e+08 8.0048e+07 1.6909e+00
6.5480e+09 0.0000e+00 0.0000e+00 0.0000e+00 3.2385e+08 nan nan
3.2017e+09 1.3897e+07 2.5363e+07 3.6305e-03 1.5998e+08 3.7294e+06 2.0900e+00
1.3256e+09 2.8616e+07 6.7397e+07 5.8894e-02 5.8353e+07 1.5753e+07 1.6064e+00
1.2110e+09 0.0000e+00 0.0000e+00 0.0000e+00 5.2704e+07 nan nan
1.6882e+11 6.6927e+09 3.5630e+09 1.3297e+00 1.4593e+10 7.0066e+04 4.3878e-01
1.2182e+11 3.0065e+09 5.8955e+09 5.4001e+00 2.1364e+09 1.4303e+07 1.4528e+00
1.5887e+10 2.5977e+09 2.9990e+09 5.4530e+00 6.1445e+08 4.2756e+07 1.4969e+00
3.0585e+09 7.5479e+08 4.8979e+08 7.9096e-01 1.7700e+08 4.3642e+07 1.4012e+00
1.2362e+10 8.8951e+07 6.9967e+08 1.0484e+00 4.6101e+08 8.7909e+07 3.2600e+00
1.0792e+09 5.9503e+07 7.9748e+07 6.7273e-02 5.8453e+07 1.4838e+07 1.5552e+00
4.0063e+09 3.8287e+07 1.1184e+08 7.4943e-02 3.8888e+08 2.3919e+07 3.2692e+00
3.2884e+09 0.0000e+00 0.0000e+00 0.0000e+00 5.8942e+08 nan nan
1.7005e+11 2.2938e+10 1.5289e+10 1.4969e+01 4.9991e+08 6.8722e+05 6.8339e-01
7.4228e+10 1.5149e+09 7.0922e+09 1.4614e+01 1.3417e+09 6.5353e+07 2.2986e+00
4.8835e+10 4.1445e+09 8.0089e+09 1.6805e+01 3.5688e+09 2.0189e+08 1.7387e+00
3.6247e+10 4.4888e+09 1.1060e+10 1.9832e+01 2.3870e+08 6.1447e+07 1.9483e+00
3.3115e+10 9.5810e+06 7.2742e+06 1.0234e-02 2.5356e+09 1.5260e+04 4.8797e-01
6.3660e+09 1.4318e+09 2.6455e+09 4.7951e+00 2.6189e+08 6.8604e+07 1.0564e+00
9.5487e+09 3.9329e+08 1.1314e+09 1.6371e+00 5.2592e+08 1.0467e+08 1.6762e+00
2.7464e+09 9.3885e+08 1.1123e+09 1.9081e+00 1.0754e+08 5.3319e+07 8.3416e-01
2.5866e+09 1.4316e+09 1.6279e+09 2.7362e+00 4.8343e+07 4.6973e+07 6.7580e-01
3.8870e+09 1.0613e+08 2.9885e+08 3.5992e-01 4.9139e+07 4.6855e+07 2.2561e+00
2.7689e+09 1.2598e+09 7.8295e+08 1.3730e+00 3.2172e+08 1.9768e+07 7.5714e-01
6.7486e+09 2.5570e+07 1.0653e+08 1.2704e-01 4.4471e+08 1.7103e+07 2.8108e+00
1.6212e+09 9.7978e+08 4.4114e+08 3.0831e-01 4.4810e+07 9.5401e+06 9.0655e-01
1.6280e+09 5.1712e+08 3.9997e+08 4.0606e-01 3.0683e+07 1.1122e+07 1.0142e+00
3.5458e+11 2.0264e+10 1.9479e+10 1.2999e+01 3.5783e+09 1.6101e+07 1.0308e+00
3.4914e+10 0.0000e+00 0.0000e+00 0.0000e+00 1.4064e+09 nan nan
2.5835e+10 0.0000e+00 0.0000e+00 0.0000e+00 6.7485e+09 nan nan
1.1522e+10 2.2308e+07 2.5477e+08 3.4009e-01 1.8093e+08 1.7781e+07 4.2523e+00
1.5379e+10 1.0045e+07 5.3355e+07 7.6513e-02 4.7944e+08 3.6866e+07 3.1655e+00
8.7895e+09 4.1906e+08 1.0504e+09 1.1477e+00 1.9568e+08 4.4393e+07 2.3012e+00
9.3635e+09 3.5740e+08 7.0050e+08 5.5459e-01 1.2280e+08 2.3123e+07 2.5844e+00
3.0646e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.0740e+09 nan nan
1.4592e+09 0.0000e+00 0.0000e+00 0.0000e+00 2.6502e+07 nan nan
3.0283e+11 3.7031e+10 4.4582e+10 5.5403e+01 6.1370e+08 2.2520e+07 1.2047e+00
1.2061e+11 5.9048e+09 4.3301e+09 4.3100e+00 1.4811e+09 2.3886e+06 5.9608e-01
2.7709e+10 2.2357e+09 5.4654e+09 8.7786e+00 9.6760e+08 1.0254e+08 1.7561e+00
3.2447e+10 3.7585e+08 1.9339e+09 4.0957e+00 1.5190e+09 1.0882e+08 2.1770e+00
1.6206e+10 1.7917e+08 6.3474e+08 8.0292e-01 6.9373e+08 5.9492e+07 3.4328e+00
1.2023e+10 1.8020e+07 8.7887e+07 1.3368e-01 1.0007e+09 4.7492e+07 2.9234e+00
1.3278e+09 1.3947e+08 1.9116e+08 2.0281e-01 6.5562e+07 1.8864e+07 1.6620e+00
3.0067e+11 1.5427e+10 1.2910e+10 1.3985e+01 1.5223e+09 4.0569e+06 5.6545e-01
9.1967e+09 8.6966e+08 1.4755e+09 2.9114e+00 2.2698e+08 1.4044e+08 1.7781e+00
4.8676e+10 6.6689e+08 2.3829e+09 3.4024e+00 3.9034e+09 1.2515e+08 2.6283e+00
3.0925e+10 1.1663e+09 4.9632e+09 1.8714e+01 1.2640e+09 7.4642e+08 1.8553e+00
9.7865e+09 1.9966e+08 7.4751e+08 1.0139e+00 8.5321e+08 5.3779e+07 2.1545e+00
8.8652e+09 1.2188e+08 5.5168e+08 8.7047e-01 1.0395e+09 8.0896e+07 1.9383e+00
6.3157e+09 8.4171e+07 2.4716e+08 2.8474e-01 3.9965e+08 1.9023e+07 1.4622e+00
2.1389e+09 0.0000e+00 0.0000e+00 0.0000e+00 4.1484e+07 nan nan
1.6254e+09 2.5159e+07 5.1050e+07 2.8835e-02 1.0785e+08 1.1849e+07 2.3501e+00
3.1053e+11 3.7125e+10 3.6086e+10 3.6562e+01 1.0115e+09 1.8759e+07 9.5079e-01
4.9522e+10 2.7152e+09 6.7271e+09 1.1160e+01 2.8492e+08 3.4589e+07 2.0789e+00
4.2729e+10 1.0012e+09 3.0122e+09 4.3465e+00 1.4553e+09 1.0855e+08 3.0214e+00
7.7425e+09 1.3225e+09 1.4897e+09 2.8264e+00 3.0338e+08 6.4463e+07 1.3418e+00
2.0072e+10 3.1216e+08 1.4280e+09 2.0421e+00 6.5810e+08 5.6172e+07 2.7061e+00
2.7062e+10 1.3116e+08 5.3186e+07 2.5701e-02 3.1725e+09 9.6428e+04 8.9415e-01
1.1702e+10 8.4188e+07 7.2391e+08 9.5258e-01 2.9004e+08 3.7334e+07 3.1338e+00
6.6997e+09 1.1627e+09 1.4145e+09 2.2541e+00 9.1980e+08 7.0953e+07 1.2534e+00
1.2404e+10 3.1217e+07 2.4356e+08 3.3283e-01 5.6362e+08 3.2635e+07 4.4221e+00
9.3137e+09 7.0200e+07 3.5833e+08 4.0988e-01 9.7466e+08 5.3331e+07 2.8570e+00
2.4314e+09 5.1972e+07 1.8443e+08 2.2306e-01 1.7392e+08 3.0015e+07 1.9075e+00
1.0628e+09 1.5081e+08 1.9710e+08 2.9592e-01 8.2378e+07 4.6617e+07 9.5589e-01
3.5110e+09 0.0000e+00 0.0000e+00 0.0000e+00 4.4075e+08 nan nan
2.7722e+09 5.5670e+07 3.1848e+08 6.9932e-01 7.7963e+08 7.0637e+07 1.8528e+00
2.0531e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.4461e+08 nan nan
1.1228e+11 1.6654e+10 5.9236e+09 2.4749e+00 5.6231e+08 4.6527e+05 4.1097e-01
1.7341e+11 6.6254e+08 1.4390e+08 3.0486e-03 2.4842e+09 4.0082e+04 3.9998e-01
5.6466e+10 8.0940e+09 4.3889e+09 1.8887e+00 1.3175e+09 3.5863e+06 7.5001e-01
7.0735e+09 2.0562e+09 2.2363e+09 2.8078e+00 1.3154e+08 3.7433e+07 1.1018e+00
3.6856e+09 2.1157e+09 2.0364e+09 3.2141e+00 5.3368e+07 8.2468e+07 9.6868e-01
9.8778e+09 4.1936e+09 4.7487e+09 6.3257e+00 9.3580e+07 8.4687e+07 1.1241e+00
4.0544e+09 3.9054e+09 1.1666e+09 7.3127e-01 2.2003e+08 9.4274e+06 8.2030e-01
8.2105e+09 2.0868e+09 1.8557e+09 1.2092e+00 5.9626e+07 1.5931e+07 1.6639e+00
5.0958e+09 7.4948e+08 1.0236e+09 1.2516e+00 2.9532e+08 2.2040e+07 1.1938e+00
2.5180e+09 3.5685e+08 5.1614e+08 5.3783e-01 1.7347e+07 1.6071e+07 1.1414e+00
8.2135e+09 6.3571e+08 1.5809e+09 2.6465e+00 2.4923e+08 1.5267e+08 1.8140e+00
1.3625e+09 4.9178e+08 2.4708e+08 3.2938e-01 5.5743e+07 1.4581e+06 8.9976e-01
1.1311e+09 0.0000e+00 0.0000e+00 0.0000e+00 6.5001e+07 nan nan
1.0056e+09 8.0294e+07 1.0541e+08 9.2624e-02 5.2836e+07 1.2034e+07 1.2078e+00
2.6007e+11 1.2268e+10 1.1614e+10 1.0899e+01 7.8825e+08 5.7553e+06 7.6086e-01
3.8043e+10 1.6965e+09 2.5045e+09 3.9700e+00 2.1888e+09 8.6570e+06 1.7691e+00
1.2438e+10 3.4117e+09 4.1742e+09 5.0096e+00 1.2970e+08 1.1369e+07 1.0369e+00
4.2830e+10 0.0000e+00 0.0000e+00 0.0000e+00 5.7882e+09 nan nan
2.0876e+09 1.2673e+09 7.7546e+08 1.0341e+00 3.1855e+07 9.7085e+06 8.8826e-01
7.0669e+09 3.1220e+08 9.5944e+08 1.5557e+00 3.9284e+08 1.0002e+08 2.3556e+00
2.3744e+09 9.4081e+07 3.0097e+08 3.3497e-01 9.3169e+07 3.4350e+07 2.0459e+00
5.3262e+09 1.2879e+07 8.9157e+07 8.6815e-02 1.5330e+08 2.1986e+07 4.0718e+00
1.3979e+09 5.2799e+08 4.3330e+08 5.5055e-01 4.9055e+07 3.6951e+07 9.8364e-01
2.5889e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.9426e+08 nan nan
1.3321e+09 0.0000e+00 0.0000e+00 0.0000e+00 5.2497e+07 nan nan
6.6480e+10 1.9781e+10 2.4519e+10 4.1295e+01 3.5427e+08 5.8869e+07 1.1522e+00
1.9903e+11 8.4655e+09 6.9819e+09 5.1249e+00 1.2767e+09 8.1733e+06 1.1144e+00
5.5565e+10 7.8359e+09 9.9604e+09 1.6655e+01 9.1466e+08 3.4689e+07 1.4045e+00
1.0674e+10 1.2253e+09 3.0118e+09 4.0716e+00 2.0688e+08 6.0469e+07 1.6012e+00
1.9087e+10 4.5158e+09 9.8336e+09 2.3027e+01 4.7153e+08 1.7041e+08 1.0862e+00
1.1802e+10 2.4448e+09 4.0798e+09 7.2059e+00 2.4205e+08 3.9925e+07 1.3651e+00
2.8249e+09 7.9003e+08 8.1451e+08 8.9161e-01 2.9443e+07 1.0499e+07 1.1142e+00
5.5154e+09 2.3854e+08 6.0225e+08 8.3894e-01 3.4984e+08 3.2756e+07 1.7181e+00
4.7980e+09 9.9657e+07 3.0273e+08 2.8154e-01 2.5862e+08 4.3733e+07 2.6805e+00
5.0293e+09 7.0149e+07 1.1607e+09 1.0297e+01 3.1704e+09 1.1915e+09 3.4820e+00
1.5220e+11 4.2050e+10 3.3025e+10 4.0822e+01 2.4225e+08 6.4062e+07 8.7876e-01
4.3178e+10 5.6851e+08 1.8153e+08 3.8203e-02 4.4307e+09 1.9565e+04 3.0860e-01
5.3699e+10 2.8101e+08 1.3598e+08 1.2341e-02 9.4169e+08 6.5170e+03 5.4826e-01
6.7570e+10 2.4071e+09 2.2256e+09 1.1146e+00 1.3313e+09 2.4527e+06 9.3949e-01
3.6817e+10 5.6387e+09 1.2975e+10 1.8243e+01 7.9761e+08 5.7879e+07 1.3725e+00
5.1824e+10 1.5843e+08 6.8263e+08 1.0732e+00 4.6714e+09 3.5276e+06 1.5045e+00
1.4198e+10 7.6799e+08 1.9153e+09 3.1143e+00 5.4602e+08 8.8898e+07 1.9904e+00
3.3294e+09 9.1837e+07 1.5358e+08 1.1962e-01 8.0149e+07 3.1154e+07 2.9874e+00
1.0373e+09 0.0000e+00 0.0000e+00 0.0000e+00 3.0028e+08 nan nan
3.5768e+11 8.0411e+09 1.0196e+10 9.0980e+00 6.5006e+08 1.4185e+07 1.6675e+00
7.6208e+10 2.0401e+09 5.2624e+08 5.5247e-02 7.8557e+09 4.6023e+04 2.6665e-01
3.8667e+09 4.9841e+08 1.0336e+09 1.4534e+00 1.0858e+08 3.4836e+07 1.1994e+00
5.8200e+09 1.9873e+08 4.5988e+08 4.9973e-01 2.5740e+08 4.2594e+07 2.1840e+00
2.3323e+09 6.1694e+08 7.6285e+08 1.1850e+00 1.1271e+08 1.0691e+08 1.1479e+00
3.2382e+09 1.2601e+09 1.0416e+09 1.2650e+00 7.9606e+07 2.4491e+07 1.1130e+00
1.2824e+09 2.4900e+08 2.5467e+08 1.0425e-01 3.7524e+07 1.4294e+07 1.4695e+00
1.0102e+09 1.1177e+07 2.4537e+07 1.9693e-03 5.8112e+07 1.0921e+06 1.7326e+00
1.1748e+09 0.0000e+00 0.0000e+00 0.0000e+00 3.8246e+07 nan nan
3.8139e+11 5.9411e+09 9.3239e+09 1.0137e+01 7.5019e+08 8.0653e+06 9.6408e-01
4.4390e+10 5.9454e+09 1.4608e+10 2.1920e+01 3.3369e+08 4.3396e+07 1.4805e+00
3.3597e+10 0.0000e+00 0.0000e+00 0.0000e+00 1.1190e+10 nan nan
5.8693e+09 8.1426e+08 1.1104e+09 1.5544e+00 4.0111e+08 6.7229e+07 1.4145e+00
5.7410e+09 8.6157e+06 7.5019e+07 1.0402e-01 6.3372e+08 1.6844e+07 3.6422e+00
9.1871e+09 6.1111e+06 5.2579e+06 3.9238e-03 2.9682e+09 1.1948e+06 1.2507e+00
5.0790e+09 0.0000e+00 0.0000e+00 0.0000e+00 6.3272e+08 nan nan
3.0039e+09 0.0000e+00 0.0000e+00 0.0000e+00 3.0920e+08 nan nan
6.9805e+09 0.0000e+00 0.0000e+00 0.0000e+00 9.9794e+08 nan nan
2.2757e+09 0.0000e+00 0.0000e+00 0.0000e+00 2.3582e+08 nan nan
1.8755e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.1373e+08 nan nan
2.5730e+11 7.1441e+09 8.4446e+09 1.2068e+01 1.2222e+09 1.7742e+07 6.1672e-01
3.4722e+10 6.0404e+09 1.2343e+10 2.4991e+01 1.2419e+09 1.7429e+08 1.3653e+00
3.3393e+10 8.4323e+08 3.1852e+08 3.8066e-02 8.3872e+09 1.7004e+05 4.2003e-01
4.5724e+10 1.1417e+04 2.5324e+00 0.0000e+00 9.9338e+09 1.9757e-10 7.4408e-01
1.0478e+10 2.5949e+08 7.9958e+08 9.0654e-01 7.0217e+08 3.2753e+07 1.7021e+00
4.7711e+09 1.3968e+07 1.0191e+08 1.2808e-01 5.1328e+07 3.9433e+07 2.4281e+00
2.9962e+09 5.7139e+07 2.0249e+08 1.8885e-01 3.8299e+07 1.5624e+07 2.4087e+00
2.1003e+09 2.7960e+07 8.0081e+07 9.1411e-02 1.0085e+08 1.8762e+07 1.6643e+00
4.4251e+09 1.5532e+06 1.4065e+06 0.0000e+00 2.1601e+08 3.9435e+04 2.2404e+00
1.0945e+09 0.0000e+00 0.0000e+00 0.0000e+00 2.6908e+07 nan nan
1.1607e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.0161e+08 nan nan
2.8240e+11 5.6958e+09 3.7629e+09 2.0746e+00 1.2761e+09 1.3138e+05 6.1119e-01
2.6027e+10 4.9480e+07 4.3487e+08 7.8422e-01 1.3810e+09 6.3911e+07 3.7894e+00
1.3638e+10 1.1437e+09 2.5095e+09 4.3051e+00 2.9770e+08 1.2095e+08 2.0653e+00
2.2373e+10 1.2580e+09 2.1731e+09 2.4117e+00 1.9596e+09 5.6935e+07 2.7073e+00
5.8302e+09 6.1510e+08 1.3483e+09 1.4918e+00 1.1930e+08 3.0185e+07 1.5095e+00
4.1058e+09 8.4888e+08 1.0850e+09 1.0205e+00 6.8435e+07 2.0417e+07 1.2348e+00
2.4556e+09 1.4298e+09 7.7432e+08 7.0179e-01 1.3114e+08 2.2059e+07 1.0238e+00
5.9920e+09 0.0000e+00 0.0000e+00 0.0000e+00 8.5692e+08 nan nan
2.2127e+09 1.2652e+08 1.4058e+08 9.9025e-02 1.4187e+08 2.2534e+07 2.1310e+00
1.0236e+11 8.3806e+09 6.6270e+09 6.3796e+00 1.5640e+08 8.8966e+05 5.5131e-01
3.8349e+10 8.2066e+09 8.2302e+09 1.6506e+01 1.7329e+09 1.2505e+08 1.3293e+00
4.1595e+10 3.0862e+09 4.3981e+09 7.4725e+00 3.0980e+09 7.7210e+07 1.1636e+00
4.9793e+10 8.7212e+08 6.1092e+08 7.4310e-01 2.6350e+09 5.7766e+05 7.5258e-01
2.4356e+10 2.9769e+09 4.7885e+09 1.0716e+01 2.8411e+09 2.4922e+08 1.4451e+00
6.0059e+09 2.5172e+09 1.8575e+09 2.9500e+00 1.5748e+08 1.5170e+07 1.1188e+00
1.6251e+09 1.3790e+09 6.5822e+08 7.4753e-01 2.7790e+07 7.3676e+06 7.0647e-01
1.0993e+09 1.3358e+09 4.9987e+08 8.9886e-01 1.4683e+07 3.0933e+06 4.9463e-01
1.8289e+09 3.6440e+08 5.5999e+08 9.9243e-01 6.9349e+07 6.8415e+07 9.7316e-01
